"story","onset_event","duration_event","MN_event"
"litDMO",3.233224844,3.686539524,1.57407407408333
"litDMO",10.8714381,1.828359928,1.58333333375
"litDMO",28.93172044,1.318184645,1.592592593
"litDMO",41.69079317,2.60406088,1.67901234577778
"litDMO",74.73353327,1.947447511,1.666666667
"litDMO",111.4162108,0.966214878,1.790123457
"litDMO",116.5717573,2.055300582,1.560185185625
"litDMO",119.0356133,2.056763161,1.5740740745
"litDMO",121.1660927,0.773540404,1.555555556
"litDMO",122.9352708,2.419722014,1.511111111
"litDMO",125.7154027,1.17601332,1.592592593
"litDMO",130.1968438,2.015000608,1.68681318685714
"litDMO",132.9035706,1.177238442,1.653846154
"litDMO",137.1612481,3.038280354,1.593406593
"litDMO",188.4282116,2.230946902,1.68376068366667
"litDMO",199.7868078,0.938288049,1.583333333
"litDMO",210.4127433,2.477584268,1.75757575763636
"litDMO",223.2322634,1.691283241,1.541666667
"litDMO",224.9235466,0.90746786,1.583333333
"litDMO",243.1655928,2.412404503,1.73863636372727
"litDMO",246.4537925,1.799564462,1.75
"litDMO",262.3575072,2.414293882,1.5423076923
"litDMO",281.9820463,1.337033058,1.807692308
"litDMO",291.9800546,1.323226736,1.538461538
"litDMO",313.5140011,1.582806135,1.56481481525
"litDMO",320.6342811,2.277677074,1.7333333336
"litDMO",336.9683872,1.311905009,1.740740741
"litDMO",363.4539725,1.746657431,1.66666666666667
"litDMO",397.0033864,1.854905497,1.7925925928
"litDM2V",3.119262056,3.306409902,1.574074074
"litDM2V",10.79030439,1.742847135,1.583333334
"litDM2V",29.22916081,1.212817679,1.611111112
"litDM2V",41.43990389,2.391132027,1.652777778
"litDM2V",75.41044331,1.698216402,1.666666667
"litDM2V",111.4710211,0.853911452,1.790123457
"litDM2V",116.5891312,1.926239845,1.560185186
"litDM2V",118.8883497,1.955678346,1.574074075
"litDM2V",120.8976134,0.759520212,1.555555556
"litDM2V",122.3100802,1.85058303,1.506172839
"litDM2V",124.4570078,1.223880297,1.592592593
"litDM2V",129.1187131,1.905472632,1.686813187
"litDM2V",131.5651802,1.184280793,1.653846154
"litDM2V",136.6560362,2.688943707,1.584615384
"litDM2V",188.4896731,2.582664152,1.686813187
"litDM2V",202.2254768,0.716714881,1.583333333
"litDM2V",211.8611518,2.340144916,1.745833333
"litDM2V",223.6653474,1.611768619,1.541666667
"litDM2V",225.5284602,0.890391796,1.583333333
"litDM2V",245.3593866,2.556137429,1.738636364
"litDM2V",248.792093,1.701237469,1.75
"litDM2V",265.1851826,2.268301768,1.512820513
"litDM2V",283.2159274,1.287452614,1.807692308
"litDM2V",294.6436556,1.359425021,1.538461538
"litDM2V",315.8147943,1.854897628,1.571428572
"litDM2V",323.566872,2.464495606,1.744855967
"litDM2V",342.1453929,0.992205595,1.75308642
"litDM2V",369.6958401,1.576472287,1.672
"litDM2V",402.9600093,1.701682677,1.802469136
"litDHO",10.83987368,1.663920003,1.548148148
"litDHO",12.83526059,2.509028699,1.814814815
"litDHO",31.60720976,2.992232276,1.537037037
"litDHO",71.90547109,3.950869755,1.823076923
"litDHO",90.61441837,1.223793406,1.576923077
"litDHO",92.35222308,3.078310316,1.865384616
"litDHO",116.3370599,5.408337048,1.596153846
"litDHO",123.0157226,4.287835054,1.586538462
"litDHO",134.9000294,1.313794355,1.586538461
"litDHO",208.3801826,2.817728988,1.664835165
"litDHO",232.3351986,2.38043915,1.731481482
"litDHO",235.1469838,1.788749226,1.739583333
"litDHO",241.8172244,2.369180578,1.583333334
"litDHO",245.0819154,3.351225394,1.567708334
"litDHO",248.5363126,1.53440644,1.583333333
"litDHO",275.2370048,3.309198131,1.791666666
"litDHO",294.1801795,2.628572467,1.592592592
"litDHO",327.0210087,1.742570224,1.625
"litDHO",332.8768987,2.834612024,1.537037037
"litDHO",376.1910951,1.70067908,1.574074074
"litDHO",378.3195752,1.311905009,1.888888889
"litDHO",383.9682508,2.096993782,1.503703704
"litDHO",386.4021993,2.606343141,1.679012346
"litDHO",428.7555388,1.154646333,1.543209877
"litDHO",433.4436947,2.711080141,1.767676768
"litDH2V",10.60169723,1.680180887,1.548148148
"litDH2V",12.75735148,2.461954799,1.814814815
"litDH2V",31.68265221,2.841255272,1.537037037
"litDH2V",72.87661039,3.96581228,1.823076923
"litDH2V",93.86191593,1.096179683,1.576923077
"litDH2V",95.41739246,3.165609133,1.865384616
"litDH2V",118.7404096,5.329983159,1.591093117
"litDH2V",125.6025595,4.378797016,1.586538462
"litDH2V",138.6919555,1.251599358,1.586538461
"litDH2V",210.3490878,2.631059643,1.657342657
"litDH2V",235.4565973,2.453712623,1.75
"litDH2V",238.2235041,1.937251048,1.739583333
"litDH2V",246.0006128,2.44668247,1.583333334
"litDH2V",249.3008405,3.648334763,1.567708334
"litDH2V",253.3409325,1.385825443,1.583333333
"litDH2V",280.9590816,3.102164863,1.795833333
"litDH2V",299.3485139,2.797075891,1.625
"litDH2V",332.9785131,1.72537309,1.625
"litDH2V",338.0581105,2.563918303,1.537037037
"litDH2V",379.1539369,1.864949564,1.574074074
"litDH2V",381.3695442,1.219403115,1.888888889
"litDH2V",388.0553468,2.092874915,1.510288066
"litDH2V",390.7644921,2.67092614,1.711111111
"litDH2V",433.9334254,1.108548287,1.543209877
"litDH2V",438.803865,2.781769993,1.774074074
